year,month,ddd_demand,avg_temp_max,avg_temp_min,avg_humidity,total_precipitation,total_sunshine_hours
2021.0,6.0,1.0465157360718,27.02,17.51,68.79,6098.1,38124.5
2021.0,7.0,1.1057175324276,26.45,17.33,68.9,7343.0,35948.65
2021.0,8.0,1.2588999504009,27.12,17.36,71.21,11870.5,39068.63
2021.0,9.0,1.6856950465674,26.24,17.43,79.87,21780.0,35026.54
2021.0,10.0,1.6042017404555,27.76,17.73,74.59,14268.0,37464.18
2021.0,11.0,1.4648037631586,28.88,17.88,66.61,7745.6,36558.42
2021.0,12.0,1.2009438066897,29.16,18.3,63.1,7114.8,37423.49
2022.0,1.0,1.086316922779,29.57,17.73,56.29,4899.4,36005.66
2022.0,2.0,1.0529569014487,30.01,18.48,57.39,3555.9,33548.07
2022.0,3.0,1.520254277852,30.55,18.68,60.17,7913.4,39097.27
2022.0,4.0,1.7554051623114,27.93,18.13,73.04,20571.4,33963.42
2022.0,5.0,1.5932430004009,26.97,17.62,76.2,15592.8,37642.45
2022.0,6.0,1.0565631540571,26.49,16.84,70.71,7102.9,37495.81
2022.0,7.0,1.1719850770886,27.01,17.2,65.8,8918.8,36940.27
2022.0,8.0,1.3666500401928,25.91,16.68,77.21,19586.9,34954.59
2022.0,9.0,1.5457770815301,26.58,16.7,77.79,14912.7,36792.21
2022.0,10.0,1.5467329450948,27.93,17.45,71.97,11252.4,37578.38
2022.0,11.0,1.7016994797682,26.42,17.34,78.18,20744.3,32327.55
2022.0,12.0,1.2336092012517,27.01,16.85,71.96,10489.3,37421.91
2023.0,1.0,0.7669332133351799,29.59,17.14,54.95,1612.5,39940.69
2023.0,2.0,0.9980081652526,31.3,18.62,49.85,2377.9,35241.31
2023.0,3.0,1.75118533652,27.76,17.81,72.97,21549.5,33431.09
2023.0,4.0,1.7206557235831,27.25,17.86,76.54,20177.4,33423.44
2023.0,5.0,1.5088027595924,27.81,17.86,74.7,9656.3,39027.72
2023.0,6.0,1.3156545061901,27.37,17.67,74.13,11739.9,36301.16
2023.0,7.0,1.0113745386373,28.1,17.4,64.74,5053.5,39429.3
2023.0,8.0,1.1756875011987,28.83,17.79,65.75,7564.6,39474.85
2023.0,9.0,1.6360988910424,28.0,17.62,74.63,15724.2,36901.51
2023.0,10.0,1.7303622877076,28.08,18.03,74.94,20161.6,36541.43
2023.0,11.0,1.7394037156807,26.81,17.66,78.77,21970.5,33186.6
2023.0,12.0,1.2438273351985,28.36,17.9,70.66,8586.4,37968.67
2024.0,1.0,1.1097642196717,29.17,18.39,62.05,5309.8,37342.23
2024.0,2.0,1.2427571585771,30.39,19.05,61.86,5970.5,35394.19
2024.0,3.0,1.5662474882139,31.28,19.27,62.48,7892.1,39552.15
2024.0,4.0,1.788276147542,27.72,18.62,78.3,21083.2,34248.21
2024.0,5.0,1.6331059271217,28.17,18.63,75.1,12969.0,37863.49
2024.0,6.0,1.0973196286427,28.49,18.04,66.32,5635.1,38067.39
2024.0,7.0,1.354577869044,27.84,17.73,72.39,13077.4,36247.1
2024.0,8.0,1.317528705547,27.36,17.17,75.51,13182.8,37025.52
2024.0,9.0,1.5936309895894,28.57,17.76,71.83,12019.2,36867.17
2024.0,10.0,1.6585781067304,27.98,17.64,74.92,17488.1,37854.18
2024.0,11.0,1.7218765043211,27.06,17.75,76.82,21209.9,34907.7
2024.0,12.0,1.121592479794,28.81,17.6,64.07,6661.8,38786.57
2025.0,1.0,0.907231325374,30.65,18.14,53.14,2357.5,39774.64
2025.0,2.0,0.9710727091548,32.57,19.18,47.96,1578.2,36448.93
2025.0,3.0,1.7332526992442,30.17,19.27,63.26,14585.4,37039.12
2025.0,4.0,,27.26,18.22,77.8,20221.6,35354.53
2025.0,5.0,,27.13,17.98,77.24,16779.1,38079.63
