index,district,year,month,avg_temp_max,avg_temp_min,avg_humidity,total_precipitation,total_sunshine_hours
96,Ngora,2025,4,28.4,19.26,77.4,179.2,292.99
97,Ntoroko,2025,4,30.73,21.88,72.57,87.0,290.05
98,Ntungamo,2025,4,27.12,16.54,76.37,108.4,305.2
99,Nwoya,2025,4,28.8,19.29,77.97,165.2,299.4
100,Omoro,2025,4,29.08,19.42,74.93,153.7,314.94
101,Otuke,2025,4,30.05,19.34,71.7,165.6,305.65
102,Oyam,2025,4,28.79,19.09,77.5,168.3,300.06
103,Pader,2025,4,30.91,19.88,69.5,124.3,305.99
104,Pakwach,2025,4,30.4,21.94,77.67,124.4,304.63
105,Pallisa,2025,4,28.21,19.33,79.37,176.7,292.81
106,Rubanda,2025,4,19.91,12.08,86.23,190.5,299.18
107,Rubirizi,2025,4,25.66,16.29,85.83,314.5,300.78
108,Rukiga,2025,4,19.6,11.37,85.73,136.2,303.3
109,Rukungiri,2025,4,25.26,15.48,79.6,152.1,301.73
110,Sembabule,2025,4,27.99,18.07,75.7,80.7,299.48
111,Serere,2025,4,28.28,19.55,78.7,228.2,293.45
112,Sheema,2025,4,26.11,15.33,78.03,105.2,301.15
113,Sironko,2025,4,27.35,18.51,72.7,157.6,289.97
114,Soroti,2025,4,28.68,18.95,75.97,217.2,299.5
115,Tororo,2025,4,26.87,17.88,81.67,220.2,293.28
116,Wakiso,2025,4,25.41,17.73,84.1,182.4,293.34
117,Yumbe,2025,4,30.54,20.54,67.97,124.9,307.86
118,Zombo,2025,4,25.45,17.23,74.4,108.9,302.64
